Fighter,KD,Strikes,TD,Sub,Win_Rate,Total_Matches
Cain Velasquez,0.38461538461538464,34.21153846153846,1.5192307692307692,0.11538461538461539,67.3076923076923,7.5
Caio Borralho,0.0,20.25,1.75,1.0,100.0,1.5
Caio Magalhaes,0.29166666666666663,18.458333333333336,0.5833333333333333,1.0,58.33333333333333,3.5
Cal Worsham,0.0,7.666666666666667,0.3333333333333333,0.0,33.33333333333333,3.0
Cale Yarbrough,0.0,6.0,0.0,0.0,0.0,1.0
Callan Potter,0.0,19.333333333333332,1.3333333333333333,0.0,33.33333333333333,3.0
Calvin Kattar,0.3857142857142857,72.84285714285714,0.44285714285714284,0.07142857142857142,58.57142857142857,6.0
Cameron Dollar,0.0,24.0,0.0,0.0,0.0,1.0
Cameron Else,0.0,8.5,0.0,0.0,0.0,2.0
Cameron Saaiman,0.5,85.0,0.5,0.0,100.0,1.0
Cameron VanCamp,0.0,17.0,0.0,0.0,0.0,2.0
Caol Uno,0.0,27.666666666666664,2.125,0.20833333333333331,29.166666666666664,5.0
Carl Deaton,0.0,1.0,0.0,0.0,0.0,1.0
Carla Esparza,0.0,29.776785714285715,2.9107142857142856,0.2589285714285714,65.17857142857143,7.5
Carlo Pedersoli Jr.,0.0,25.75,1.25,0.0,25.0,1.5
Carlo Prater,0.0,27.75,0.0,1.75,25.0,1.5
Carlos Barreto,0.0,11.0,2.0,0.0,0.0,1.0
Carlos Candelario,0.0,39.0,1.5,0.5,0.0,2.0
Carlos Condit,0.3392857142857143,57.1547619047619,0.5238095238095238,0.5178571428571428,52.38095238095238,9.5
Carlos Eduardo Rocha,0.0,15.25,0.0,1.25,25.0,1.5
Carlos Felipe,0.0,75.0,0.0,0.0,75.0,2.5
Carlos Hernandez,0.0,43.5,1.0,0.0,50.0,1.0
Carlos Huachin,0.0,26.0,0.0,0.0,0.0,2.0
Carlos Mota,0.0,12.0,0.0,1.0,0.0,1.0
Carlos Newton,0.3333333333333333,6.458333333333334,1.375,1.125,41.666666666666664,3.5
Carlos Ulberg,0.5,60.25,0.5,0.0,75.0,2.0
Carls John De Tomas,0.0,19.0,1.0,0.0,0.0,1.0
Carlston Harris,0.25,25.5,1.25,0.25,75.0,4.0
Carlton Minus,0.0,52.5,0.0,0.0,0.0,2.0
Carmelo Marrero,0.0,6.75,1.5,0.0,25.0,4.0
Caros Fodor,0.0,47.0,3.0,0.0,0.0,1.0
Casey Kenney,0.0,67.0,0.875,0.25,62.5,4.0
Casey O'Neill,0.0,113.08333333333334,1.5833333333333335,0.5,83.33333333333333,2.5
Cat Zingano,0.0,16.333333333333336,1.0833333333333333,0.3333333333333333,25.0,3.5
